t,S,I,R,D
276,293.6652597,6.87E-06,96727.13886,2979.195877
277,293.6652597,6.24E-06,96727.13886,2979.195877
278,293.6652597,5.66E-06,96727.13886,2979.195877
279,293.6652597,5.14E-06,96727.13886,2979.195877
280,293.6652597,4.67E-06,96727.13886,2979.195877
281,293.6652597,4.24E-06,96727.13886,2979.195877
282,293.6652597,3.85E-06,96727.13886,2979.195877
283,293.6652597,3.49E-06,96727.13886,2979.195877
284,293.6652596,3.17E-06,96727.13886,2979.195877
285,293.6652596,2.88E-06,96727.13886,2979.195877
286,293.6652596,2.61E-06,96727.13886,2979.195877
287,293.6652596,2.37E-06,96727.13886,2979.195877
288,293.6652596,2.15E-06,96727.13886,2979.195877
289,293.6652596,1.95E-06,96727.13886,2979.195877
290,293.6652596,1.77E-06,96727.13886,2979.195877
291,293.6652596,1.61E-06,96727.13886,2979.195877
292,293.6652596,1.46E-06,96727.13886,2979.195877
293,293.6652596,1.33E-06,96727.13886,2979.195877
294,293.6652596,1.20E-06,96727.13886,2979.195877
295,293.6652596,1.09E-06,96727.13886,2979.195877
296,293.6652596,9.92E-07,96727.13886,2979.195877
297,293.6652596,9.01E-07,96727.13886,2979.195877
298,293.6652596,8.18E-07,96727.13886,2979.195877
299,293.6652596,7.42E-07,96727.13886,2979.195877
300,293.6652596,6.74E-07,96727.13886,2979.195877
301,293.6652596,6.12E-07,96727.13886,2979.195877
302,293.6652596,5.55E-07,96727.13886,2979.195877
303,293.6652596,5.04E-07,96727.13886,2979.195877
304,293.6652596,4.57E-07,96727.13886,2979.195877
305,293.6652596,4.15E-07,96727.13886,2979.195877
306,293.6652596,3.77E-07,96727.13886,2979.195877
307,293.6652596,3.42E-07,96727.13886,2979.195877
308,293.6652596,3.11E-07,96727.13886,2979.195877
309,293.6652596,2.82E-07,96727.13886,2979.195877
310,293.6652596,2.56E-07,96727.13886,2979.195877
311,293.6652596,2.32E-07,96727.13886,2979.195877
312,293.6652596,2.11E-07,96727.13886,2979.195877
313,293.6652596,1.91E-07,96727.13886,2979.195877
314,293.6652596,1.74E-07,96727.13886,2979.195877
315,293.6652596,1.58E-07,96727.13886,2979.195877
316,293.6652596,1.43E-07,96727.13886,2979.195877
317,293.6652596,1.30E-07,96727.13886,2979.195877
318,293.6652596,1.18E-07,96727.13886,2979.195877
319,293.6652596,1.07E-07,96727.13886,2979.195877
320,293.6652596,9.73E-08,96727.13886,2979.195877
321,293.6652596,8.83E-08,96727.13886,2979.195877
322,293.6652596,8.01E-08,96727.13886,2979.195877
323,293.6652596,7.27E-08,96727.13886,2979.195877
324,293.6652596,6.60E-08,96727.13886,2979.195877
325,293.6652596,5.99E-08,96727.13886,2979.195877
326,293.6652596,5.44E-08,96727.13886,2979.195877
327,293.6652596,4.94E-08,96727.13886,2979.195877
328,293.6652596,4.48E-08,96727.13886,2979.195877
329,293.6652596,4.07E-08,96727.13886,2979.195877
330,293.6652596,3.69E-08,96727.13886,2979.195877
331,293.6652596,3.35E-08,96727.13886,2979.195877
332,293.6652596,3.04E-08,96727.13886,2979.195877
333,293.6652596,2.76E-08,96727.13886,2979.195877
334,293.6652596,2.51E-08,96727.13886,2979.195877
335,293.6652596,2.28E-08,96727.13886,2979.195877
336,293.6652596,2.07E-08,96727.13886,2979.195877
337,293.6652596,1.88E-08,96727.13886,2979.195877
338,293.6652596,1.70E-08,96727.13886,2979.195877
339,293.6652596,1.55E-08,96727.13886,2979.195877
340,293.6652596,1.40E-08,96727.13886,2979.195877
341,293.6652596,1.27E-08,96727.13886,2979.195877
342,293.6652596,1.16E-08,96727.13886,2979.195877
343,293.6652596,1.05E-08,96727.13886,2979.195877
344,293.6652596,9.53E-09,96727.13886,2979.195877
345,293.6652596,8.65E-09,96727.13886,2979.195877
346,293.6652596,7.85E-09,96727.13886,2979.195877
347,293.6652596,7.13E-09,96727.13886,2979.195877
348,293.6652596,6.47E-09,96727.13886,2979.195877
349,293.6652596,5.88E-09,96727.13886,2979.195877
350,293.6652596,5.33E-09,96727.13886,2979.195877
351,293.6652596,4.84E-09,96727.13886,2979.195877
352,293.6652596,4.39E-09,96727.13886,2979.195877
353,293.6652596,3.99E-09,96727.13886,2979.195877
354,293.6652596,3.62E-09,96727.13886,2979.195877
355,293.6652596,3.29E-09,96727.13886,2979.195877
