t,S,I,R
283,242.262315,6.87E-06,99757.73768
284,242.262315,6.25E-06,99757.73768
285,242.262315,5.69E-06,99757.73768
286,242.262315,5.18E-06,99757.73768
287,242.262315,4.72E-06,99757.73768
288,242.262315,4.29E-06,99757.73768
289,242.262315,3.91E-06,99757.73768
290,242.262315,3.56E-06,99757.73768
291,242.262315,3.24E-06,99757.73768
292,242.262315,2.95E-06,99757.73768
293,242.262315,2.68E-06,99757.73768
294,242.262315,2.44E-06,99757.73768
295,242.262315,2.22E-06,99757.73768
296,242.2623149,2.02E-06,99757.73768
297,242.2623149,1.84E-06,99757.73768
298,242.2623149,1.68E-06,99757.73768
299,242.2623149,1.53E-06,99757.73768
300,242.2623149,1.39E-06,99757.73768
301,242.2623149,1.27E-06,99757.73768
302,242.2623149,1.15E-06,99757.73768
303,242.2623149,1.05E-06,99757.73768
304,242.2623149,9.55E-07,99757.73768
305,242.2623149,8.69E-07,99757.73768
306,242.2623149,7.91E-07,99757.73768
307,242.2623149,7.20E-07,99757.73768
308,242.2623149,6.56E-07,99757.73768
309,242.2623149,5.97E-07,99757.73768
310,242.2623149,5.43E-07,99757.73768
311,242.2623149,4.94E-07,99757.73768
312,242.2623149,4.50E-07,99757.73768
313,242.2623149,4.10E-07,99757.73768
314,242.2623149,3.73E-07,99757.73768
315,242.2623149,3.40E-07,99757.73768
316,242.2623149,3.09E-07,99757.73768
317,242.2623149,2.81E-07,99757.73768
318,242.2623149,2.56E-07,99757.73768
319,242.2623149,2.33E-07,99757.73768
320,242.2623149,2.12E-07,99757.73768
321,242.2623149,1.93E-07,99757.73768
322,242.2623149,1.76E-07,99757.73768
323,242.2623149,1.60E-07,99757.73768
324,242.2623149,1.46E-07,99757.73768
325,242.2623149,1.33E-07,99757.73768
326,242.2623149,1.21E-07,99757.73768
327,242.2623149,1.10E-07,99757.73768
328,242.2623149,1.00E-07,99757.73768
329,242.2623149,9.11E-08,99757.73768
330,242.2623149,8.29E-08,99757.73768
331,242.2623149,7.55E-08,99757.73769
332,242.2623149,6.87E-08,99757.73769
333,242.2623149,6.25E-08,99757.73769
334,242.2623149,5.69E-08,99757.73769
335,242.2623149,5.18E-08,99757.73769
336,242.2623149,4.72E-08,99757.73769
337,242.2623149,4.30E-08,99757.73769
338,242.2623149,3.91E-08,99757.73769
339,242.2623149,3.56E-08,99757.73769
340,242.2623149,3.24E-08,99757.73769
341,242.2623149,2.95E-08,99757.73769
342,242.2623149,2.68E-08,99757.73769
343,242.2623149,2.44E-08,99757.73769
344,242.2623149,2.22E-08,99757.73769
345,242.2623149,2.03E-08,99757.73769
346,242.2623149,1.84E-08,99757.73769
347,242.2623149,1.68E-08,99757.73769
348,242.2623149,1.53E-08,99757.73769
349,242.2623149,1.39E-08,99757.73769
350,242.2623149,1.27E-08,99757.73769
351,242.2623149,1.15E-08,99757.73769
352,242.2623149,1.05E-08,99757.73769
353,242.2623149,9.55E-09,99757.73769
354,242.2623149,8.69E-09,99757.73769
355,242.2623149,7.91E-09,99757.73769
356,242.2623149,7.20E-09,99757.73769
357,242.2623149,6.56E-09,99757.73769
358,242.2623149,5.97E-09,99757.73769
359,242.2623149,5.43E-09,99757.73769
360,242.2623149,4.95E-09,99757.73769
361,242.2623149,4.50E-09,99757.73769
362,242.2623149,4.10E-09,99757.73769
363,242.2623149,3.73E-09,99757.73769
364,242.2623149,3.40E-09,99757.73769
365,242.2623149,3.09E-09,99757.73769
366,242.2623149,2.81E-09,99757.73769
367,242.2623149,2.56E-09,99757.73769
368,242.2623149,2.33E-09,99757.73769
369,242.2623149,2.12E-09,99757.73769
370,242.2623149,1.93E-09,99757.73769
371,242.2623149,1.76E-09,99757.73769
372,242.2623149,1.60E-09,99757.73769
373,242.2623149,1.46E-09,99757.73769
374,242.2623149,1.33E-09,99757.73769
375,242.2623149,1.21E-09,99757.73769
376,242.2623149,1.10E-09,99757.73769
377,242.2623149,1.00E-09,99757.73769
378,242.2623149,9.11E-10,99757.73769
379,242.2623149,8.29E-10,99757.73769
380,242.2623149,7.55E-10,99757.73769
381,242.2623149,6.87E-10,99757.73769
382,242.2623149,6.26E-10,99757.73769
383,242.2623149,5.70E-10,99757.73769
384,242.2623149,5.18E-10,99757.73769
385,242.2623149,4.72E-10,99757.73769
386,242.2623149,4.30E-10,99757.73769
387,242.2623149,3.91E-10,99757.73769
388,242.2623149,3.56E-10,99757.73769
389,242.2623149,3.24E-10,99757.73769
390,242.2623149,2.95E-10,99757.73769
391,242.2623149,2.69E-10,99757.73769
392,242.2623149,2.44E-10,99757.73769
393,242.2623149,2.23E-10,99757.73769
394,242.2623149,2.03E-10,99757.73769
395,242.2623149,1.84E-10,99757.73769
396,242.2623149,1.68E-10,99757.73769
397,242.2623149,1.53E-10,99757.73769
398,242.2623149,1.39E-10,99757.73769
399,242.2623149,1.27E-10,99757.73769
400,242.2623149,1.15E-10,99757.73769
401,242.2623149,1.05E-10,99757.73769
402,242.2623149,9.55E-11,99757.73769
403,242.2623149,8.69E-11,99757.73769
404,242.2623149,7.91E-11,99757.73769
405,242.2623149,7.20E-11,99757.73769
406,242.2623149,6.56E-11,99757.73769
407,242.2623149,5.97E-11,99757.73769
408,242.2623149,5.43E-11,99757.73769
409,242.2623149,4.95E-11,99757.73769
410,242.2623149,4.50E-11,99757.73769
411,242.2623149,4.10E-11,99757.73769
412,242.2623149,3.73E-11,99757.73769
413,242.2623149,3.40E-11,99757.73769
414,242.2623149,3.09E-11,99757.73769
