t,S,I,R,D,R0,beta, gamma, mu
276,34.574911858381974,0.003375150797293497,63.46693150249854,1.954781488322172,1.6006984850594699,0.15,0.090909091,0.0028
277,34.57473681506998,0.0032339117960789535,63.467238334389506,1.9547909387444042,1.6006984850594699,0.15,0.090909091,0.0028
278,34.57456909759613,0.0030985823351430877,63.46753232637126,1.9547999936974332,1.6006984850594699,0.15,0.090909091,0.0028
279,34.57440839937256,0.0029689152247046645,63.46781401567474,1.9548086697279716,1.6006984850594699,0.15,0.090909091,0.0028
280,34.57425442664133,0.0028446736089646108,63.468083917059076,1.9548169826906008,1.6006984850594699,0.15,0.090909091,0.0028
281,34.574106897937654,0.0027256305345524892,63.46834252375106,1.954824947776706,1.6006984850594699,0.15,0.090909091,0.0028
282,34.573965543575454,0.0026115685369565824,63.46859030834536,1.9548325795422026,1.6006984850594699,0.15,0.090909091,0.0028
283,34.573830105154535,0.0025022792441913152,63.46882772366714,1.9548398919341061,1.6006984850594699,0.15,0.090909091,0.0028
284,34.57370033508834,0.0023975629969864676,63.46905520359866,1.95484689831599,1.6006984850594699,0.15,0.090909091,0.0028
285,34.573575996151455,0.0022972284848120895,63.46927316387133,1.9548536114923816,1.6006984850594699,0.15,0.090909091,0.0028
286,34.573456861046054,0.002201092397081303,63.469482002824705,1.954860043732139,1.6006984850594699,0.15,0.090909091,0.0028
287,34.5733427119865,0.0021089790889003033,63.46968210213373,1.9548662067908509,1.6006984850594699,0.15,0.090909091,0.0028
288,34.57323334030128,0.0020207202607608926,63.469873827505644,1.9548721119322998,1.6006984850594699,0.15,0.090909091,0.0028
289,34.57312854605164,0.0019361546515958476,63.47005752934771,1.9548777699490298,1.6006984850594699,0.15,0.090909091,0.0028
290,34.57302813766616,0.0018551277446413677,63.470233543407126,1.9548831911820543,1.6006984850594699,0.15,0.090909091,0.0028
291,34.57293193159059,0.0017774914855738218,63.47040219138408,1.9548883855397394,1.6006984850594699,0.15,0.090909091,0.0028
292,34.57283975195238,0.0017031040124100476,63.470563781519296,1.954893362515899,1.6006984850594699,0.15,0.090909091,0.0028
293,34.57275143023923,0.0016318293966815888,63.47071860915694,1.9548981312071338,1.6006984850594699,0.15,0.090909091,0.0028
294,34.572666804991066,0.0015635373954135234,63.47086695728406,1.9549027003294446,1.6006984850594699,0.15,0.090909091,0.0028
295,34.57258572150495,0.0014981032134579774,63.47100909704742,1.9549070782341518,1.6006984850594699,0.15,0.090909091,0.0028
296,34.5725080315523,0.0014354072757510584,63.47114528824878,1.9549112729231495,1.6006984850594699,0.15,0.090909091,0.0028
297,34.57243359310795,0.0013753350090798184,63.47127577981943,1.9549152920635215,1.6006984850594699,0.15,0.090909091,0.0028
298,34.57236227009055,0.0013177766329630046,63.47140081027492,1.954919143001547,1.6006984850594699,0.15,0.090909091,0.0028
299,34.57229393211383,0.0012626269592657866,63.47152060815077,1.9549228327761192,1.6006984850594699,0.15,0.090909091,0.0028
300,34.57222845424829,0.0012097852001844176,63.471635392419905,1.9549263681316051,1.6006984850594699,0.15,0.090909091,0.0028
301,34.57216571679281,0.001159154784251899,63.47174537289276,1.9549297555301657,1.6006984850594699,0.15,0.090909091,0.0028
302,34.572105605055874,0.0011106431800302072,63.471850750600524,1.9549330011635615,1.6006984850594699,0.15,0.090909091,0.0028
303,34.57204800914591,0.0010641617271685362,63.471951718162444,1.9549361109644656,1.6006984850594699,0.15,0.090909091,0.0028
304,34.57199282377043,0.001019625474520332,63.472048460137735,1.9549390906173016,1.6006984850594699,0.15,0.090909091,0.0028
305,34.57193994804355,0.0009769530250246638,63.472141153362784,1.9549419455686303,1.6006984850594699,0.15,0.090909091,0.0028
306,34.57188928530158,0.0009360663870697205,63.47222996727424,1.9549446810371003,1.6006984850594699,0.15,0.090909091,0.0028
307,34.571840742926334,0.0008968908320679628,63.472315064218606,1.9549473020229842,1.6006984850594699,0.15,0.090909091,0.0028
308,34.57179423217582,0.0008593547579837068,63.472396599748876,1.954949813317314,1.6006984850594699,0.15,0.090909091,0.0028
309,34.57174966802202,0.0008233895585647096,63.47247472290877,1.9549522195106364,1.6006984850594699,0.15,0.090909091,0.0028
310,34.57170696899548,0.0007889294980396629,63.47254957650508,1.9549545250014004,1.6006984850594699,0.15,0.090909091,0.0028
311,34.57166605703634,0.0007559115910534156,63.47262129736861,1.954956734003995,1.6006984850594699,0.15,0.090909091,0.0028
312,34.571626857351696,0.0007242754876212489,63.47269001660423,1.95495885055645,1.6006984850594699,0.15,0.090909091,0.0028
313,34.571589298278845,0.0006939633628926323,63.47275585983044,1.9549608785278152,1.6006984850594699,0.15,0.090909091,0.0028
314,34.57155331115429,0.0006649198115236254,63.47281894740895,1.9549628216252313,1.6006984850594699,0.15,0.090909091,0.0028
315,34.571518830188225,0.0006370917464654526,63.47287939466461,1.9549646834007035,1.6006984850594699,0.15,0.090909091,0.0028
316,34.57148579234426,0.0006104283019848044,63.472937312096164,1.9549664672575937,1.6006984850594699,0.15,0.090909091,0.0028
317,34.57145413722421,0.0005848807407391037,63.472992805578215,1.9549681764568392,1.6006984850594699,0.15,0.090909091,0.0028
318,34.571423806957654,0.0005604023647373471,63.4730459765547,1.9549698141229133,1.6006984850594699,0.15,0.090909091,0.0028
319,34.571394746096175,0.000536948430024194,63.47309692222427,1.9549713832495346,1.6006984850594699,0.15,0.090909091,0.0028
320,34.57136690151198,0.0005144760649317442,63.47314573571796,1.9549728867051386,1.6006984850594699,0.15,0.090909091,0.0028
321,34.571340222300776,0.0004929441917499355,63.47319250626936,1.9549743272381204,1.6006984850594699,0.15,0.090909091,0.0028
322,34.57131465968873,0.0004723134516727105,63.47323731937775,1.9549757074818572,1.6006984850594699,0.15,0.090909091,0.0028
323,34.5712901669433,0.0004525461328830598,63.47328025696431,1.954977029959522,1.6006984850594699,0.15,0.090909091,0.0028
324,34.57126669928779,0.0004336061016457656,63.473321397521886,1.954978297088694,1.6006984850594699,0.15,0.090909091,0.0028
325,34.57124421381952,0.00041545873628213867,63.47336081625844,1.9549795111857786,1.6006984850594699,0.15,0.090909091,0.0028
326,34.57122266943137,0.00039807086390629274,63.473398585234506,1.9549806744702403,1.6006984850594699,0.15,0.090909091,0.0028
327,34.57120202673666,0.0003814106998075254,63.473434773494894,1.9549817890686592,1.6006984850594699,0.15,0.090909091,0.0028
328,34.57118224799712,0.0003654477893681958,63.47346944719491,1.9549828570186185,1.6006984850594699,0.15,0.090909091,0.0028
329,34.57116329705393,0.00035015295241110604,63.47350266972125,1.9549838802724286,1.6006984850594699,0.15,0.090909091,0.0028
330,34.57114513926158,0.0003354982298748199,63.47353450180786,1.9549848607006954,1.6006984850594699,0.15,0.090909091,0.0028
331,34.57112774142458,0.0003214568327195931,63.473565001646975,1.9549858000957392,1.6006984850594699,0.15,0.090909091,0.0028
332,34.571111071736745,0.0003080030929706552,63.47359422499543,1.9549867001748709,1.6006984850594699,0.15,0.090909091,0.0028
333,34.57109509972304,0.00029511241680947706,63.473622225276635,1.9549875625835311,1.6006984850594699,0.15,0.090909091,0.0028
334,34.571079796183895,0.0002827612396273921,63.47364905367819,1.9549883888982982,1.6006984850594699,0.15,0.090909091,0.0028
335,34.57106513314183,0.0002709269829595157,63.473674759245455,1.9549891806297692,1.6006984850594699,0.15,0.090909091,0.0028
336,34.571051083790266,0.0002595880132203355,63.473699388971205,1.9549899392253216,1.6006984850594699,0.15,0.090909091,0.0028
337,34.571037622444564,0.00024872360216563166,63.47372298788152,1.9549906660717586,1.6006984850594699,0.15,0.090909091,0.0028
338,34.571024724495054,0.00023831388900853167,63.473745599118104,1.9549913624978448,1.6006984850594699,0.15,0.090909091,0.0028
339,34.57101236636203,0.00022833984412052406,63.47376726401713,1.954992029776734,1.6006984850594699,0.15,0.090909091,0.0028
340,34.57100052545267,0.00021878323425114377,63.47378802218479,1.9549926691282975,1.6006984850594699,0.15,0.090909091,0.0028
341,34.57098918011971,0.00020962658920281382,63.47380791156974,1.9549932817213533,1.6006984850594699,0.15,0.090909091,0.0028
342,34.57097830962189,0.00020085316989998153,63.473826968532414,1.954993868675803,1.6006984850594699,0.15,0.090909091,0.0028
343,34.570967894086024,0.0001924469377942323,63.47384522791151,1.9549944310646787,1.6006984850594699,0.15,0.090909091,0.0028
344,34.57095791447066,0.0001843925255495006,63.47386272308769,1.9549949699161047,1.6006984850594699,0.15,0.090909091,0.0028
345,34.5709483525313,0.00017667520895383476,63.473879486044574,1.9549954862151762,1.6006984850594699,0.15,0.090909091,0.0028
346,34.570939190787016,0.00016928088000640938,63.47389554742722,1.9549959809057613,1.6006984850594699,0.15,0.090909091,0.0028
347,34.5709304124885,0.00016219602113062544,63.473910936598145,1.9549964548922254,1.6006984850594699,0.15,0.090909091,0.0028
348,34.57092200158746,0.0001554076804661918,63.47392568169099,1.9549969090410846,1.6006984850594699,0.15,0.090909091,0.0028
349,34.570913942707264,0.00014890344819505302,63.47393980966196,1.9549973441825899,1.6006984850594699,0.15,0.090909091,0.0028
350,34.570906221114825,0.00014267143385791433,63.47395334633908,1.9549977611122449,1.6006984850594699,0.15,0.090909091,0.0028
351,34.570898822693685,0.00013670024461992348,63.47396631646944,1.9549981605922597,1.6006984850594699,0.15,0.090909091,0.0028
352,34.570891733918195,0.00013097896444580208,63.47397874376442,1.9549985433529447,1.6006984850594699,0.15,0.090909091,0.0028
353,34.570884941828794,0.00012549713414637946,63.473990650943016,1.954998910094045,1.6006984850594699,0.15,0.090909091,0.0028
354,34.570878434008314,0.00012024473226007279,63.474002059773404,1.9549992614860205,1.6006984850594699,0.15,0.090909091,0.0028
355,34.57087219855928,0.00011521215673438228,63.47401299111271,1.954999598171271,1.6006984850594699,0.15,0.090909091,0.0028
356,34.57086622408216,0.00011039020737393084,63.47402346494515,1.9549999207653097,1.6006984850594699,0.15,0.090909091,0.0028
357,34.57086049965452,0.00010577006902297756,63.47403350041856,1.9550002298578903,1.6006984850594699,0.15,0.090909091,0.0028
358,34.57085501481107,0.00010134329545167535,63.47404311587939,1.9550005260140837,1.6006984850594699,0.15,0.090909091,0.0028
359,34.57084975952451,9.710179391662896E-05,63.47405232890626,1.9550008097753109,1.6006984850594699,0.15,0.090909091,0.0028
360,34.57084472418722,9.303781036754047E-05,63.47406115634208,1.9550010816603338,1.6006984850594699,0.15,0.090909091,0.0028
361,34.57083989959367,8.91439152729098E-05,63.47406961432485,1.955001342166203,1.6006984850594699,0.15,0.090909091,0.0028
362,34.57083527692364,8.541299003888846E-05,63.474077718317155,1.9550015917691657,1.6006984850594699,0.15,0.090909091,0.0028
363,34.57083084772602,8.183821399646807E-05,63.47408548313444,1.9550018309255377,1.6006984850594699,0.15,0.090909091,0.0028
364,34.57082660390344,7.841305193322342E-05,63.47409292297208,1.9550020600725369,1.6006984850594699,0.15,0.090909091,0.0028
365,34.57082253769741,7.513124214682478E-05,63.47410005143136,1.9550022796290822,1.6006984850594699,0.15,0.090909091,0.0028
366,34.57081864167415,7.198678499848692E-05,63.47410688154429,1.9550024899965603,1.6006984850594699,0.15,0.090909091,0.0028
367,34.57081490871102,6.89739319454361E-05,63.474113425797476,1.9550026915595584,1.6006984850594699,0.15,0.090909091,0.0028
368,34.57081133198347,6.608717503235096E-05,63.47411969615493,1.955002884686568,1.6006984850594699,0.15,0.090909091,0.0028
369,34.57080790495258,6.332123682257223E-05,63.47412570407994,1.955003069730658,1.6006984850594699,0.15,0.090909091,0.0028
370,34.57080462135311,6.0671060750678985E-05,63.474131460556016,1.955003247030121,1.6006984850594699,0.15,0.090909091,0.0028
371,34.57080147518203,5.813180187880003E-05,63.474136976107,1.955003416909091,1.6006984850594699,0.15,0.090909091,0.0028
372,34.570798460687556,5.5698818039765505E-05,63.474142260816265,1.9550035796781364,1.6006984850594699,0.15,0.090909091,0.0028
373,34.570795572358634,5.336766135091154E-05,63.47414732434518,1.9550037356348269,1.6006984850594699,0.15,0.090909091,0.0028
374,34.570792804914866,5.1134070083027627E-05,63.47415217595076,1.9550038850642786,1.6006984850594699,0.15,0.090909091,0.0028
375,34.570790153296855,4.899396086958533E-05,63.47415682450259,1.9550040282396748,1.6006984850594699,0.15,0.090909091,0.0028
376,34.57078761265694,4.6943421242008825E-05,63.47416127849904,1.9550041654227652,1.6006984850594699,0.15,0.090909091,0.0028
377,34.57078517835038,4.497870247734355E-05,63.474165546082794,1.9550042968643446,1.6006984850594699,0.15,0.090909091,0.0028
378,34.570782845926786,4.309621274525001E-05,63.47416963505575,1.9550044228047117,1.6006984850594699,0.15,0.090909091,0.0028
379,34.57078061112207,4.1292510541796865E-05,63.47417355289328,1.9550045434741072,1.6006984850594699,0.15,0.090909091,0.0028
380,34.57077846985058,3.9564298398051524E-05,63.47417730675787,1.9550046590931367,1.6006984850594699,0.15,0.090909091,0.0028
381,34.57077641819769,3.7908416851968515E-05,63.47418090351228,1.9550047698731723,1.6006984850594699,0.15,0.090909091,0.0028
382,34.570774452412586,3.6321838672557325E-05,63.47418434973199,1.9550048760167396,1.6006984850594699,0.15,0.090909091,0.0028
383,34.57077256890145,3.480166332577218E-05,63.47418765171733,1.955004977717888,1.6006984850594699,0.15,0.090909091,0.0028
384,34.57077076422087,3.3345111672008155E-05,63.474190815504905,1.9550050751625452,1.6006984850594699,0.15,0.090909091,0.0028
385,34.57076903507155,3.194952088551129E-05,63.4741938468787,1.9550051685288579,1.6006984850594699,0.15,0.090909091,0.0028
386,34.57076737829229,3.0612339586415815E-05,63.4741967513806,1.9550052579875163,1.6006984850594699,0.15,0.090909091,0.0028
387,34.57076579085418,2.9331123176510378E-05,63.47419953432057,1.9550053437020671,1.6006984850594699,0.15,0.090909091,0.0028
388,34.5707642698551,2.8103529370207312E-05,63.474202200786316,1.955005425829212,1.6006984850594699,0.15,0.090909091,0.0028
389,34.57076281251436,2.6927313912545963E-05,63.47420475565262,1.9550055045190942,1.6006984850594699,0.15,0.090909091,0.0028
390,34.570761416167684,2.5800326476402743E-05,63.474207203590254,1.9550055799155732,1.6006984850594699,0.15,0.090909091,0.0028
391,34.57076007826229,2.472050673140824E-05,63.47420954907448,1.9550056521564874,1.6006984850594699,0.15,0.090909091,0.0028
392,34.57075879635223,2.3685880577385465E-05,63.47421179639328,1.9550057213739063,1.6006984850594699,0.15,0.090909091,0.0028
